subset,category,mean_abs_shap
FD001,rolling_mean,17.906538341832597
FD001,cycle_observable,11.20376231963354
FD001,rolling_max,9.521615598966958
FD001,rolling_min,9.2262081948196
FD001,rolling_range,4.3746150971892686
FD001,rolling_std,3.428367948989289
FD001,raw_sensor,2.0473724713908052
FD001,lag,0.7373222092559747
FD001,delta,0.0
FD001,operational_setting,0.0
FD001,percentage_change,0.0
FD002,rolling_max,23.676404907902448
FD002,cycle_observable,15.33550404118839
FD002,rolling_min,7.145760639077293
FD002,rolling_range,1.7657732802582429
FD002,raw_sensor,0.38661087737915567
FD002,rolling_mean,0.28222065046005357
FD002,lag,0.22667917232278711
FD002,rolling_std,0.16886102841577746
FD002,delta,0.0
FD002,operational_setting,0.0
FD002,percentage_change,0.0
FD003,rolling_mean,13.30642819036334
FD003,rolling_max,9.006528947155463
FD003,cycle_observable,8.278325012014825
FD003,rolling_min,6.285758858907562
FD003,rolling_std,5.179366055691831
FD003,rolling_range,4.481374194873227
FD003,raw_sensor,0.9818331510341747
FD003,lag,0.7459254693240784
FD003,percentage_change,0.025702707090607152
FD003,delta,0.0
FD003,operational_setting,0.0
FD004,rolling_max,22.458513757198556
FD004,cycle_observable,9.307566527901745
FD004,rolling_range,6.42172414179076
FD004,rolling_min,5.936689054927051
FD004,raw_sensor,0.39500493446976664
FD004,rolling_mean,0.38634360478353946
FD004,lag,0.18472840960780393
FD004,rolling_std,0.168664434940546
FD004,delta,0.0
FD004,operational_setting,0.0
FD004,percentage_change,0.0
